Codice,Autore,Titolo,Editore,Anno,Luogo,Pagine,Classificazione
L525,Touring club italiano,London,Servizio cartigrafico del Touring club italiano,,,0,Viaggi
L524,Lonely Planet,London (Italian Edition),Lonely Planet Publications - Italian editions,,,0,Viaggi
L354,vuoto,Londra,Touring,,,0,Viaggi
L522,Rob Humphreys,Londra,Vallardi Viaggi,,,0,Viaggi
L523,Ilona Jerger,E Marx tacque nel giardino di Darwin,Neri Pozza Editore,,,0,Romanzo
L292,"Walter Benjamin, E. Filippini, M. Valagussa",L'opera d'arte nell'epoca della sua riproducibilità tecnica,Einaudi,,,0,Fotografia
L186,Carlo Rovelli,L'ordine del tempo,Adelphi,,,0,Fisica
L505,Matilde Asensi,L'Origine Perduta,Sonzogno,,,0,Romanzo
L435,Wilbur Smith,L'uccello del sole,Tea,,,0,Romanzo
L507,Matilde Asensi,L'Ultimo Catone,Sonzogno,,,0,Romanzo
L205,Emiliano Fittipaldi,"Lussuria. Peccati, scandali e tradimenti di una Chiesa fatta di uomini",Serie Bianca,,,0,Saggi
L600,Bob Dylan,Lyrics 1962-2001. Testo inglese a fronte,Feltrinelli,,,0,Musica
L189,Costantino D'Orazio,Ma liberaci dal male,Sperling Kupfer,,,0,Romanzo
L389,Christian Jacq,Maat,Mondadori,,,0,Romanzo
L543,Chuck Toporek,Mac OS X Leopard. Guida pocket,Tecniche Nuove,,,0,Informatica
L209,Antonio Pennacchi,Mammut,Oscar Contemporanea,,,0,Romanzo
L202,"Gianni Barbaceto, Peter Gomez, Marco Travaglio",Mani pulite 25 anni dopo,Chiarelettere,,,0,Saggi
L362,Vari,Manuale Cremonese di Elettrotecnica,Edizioni Cremonese,,,0,Manuali
L363,Vari,Manuale Cremonese di MECCANICA,Edizioni Cremonese,,,0,Manuali
L360,Vari,"Manuale Cremonese di MECCANICA ELETTROTECNICA ELETTRONICA, parte generale",Edizioni Cremonese,,,0,Manuali
L359,Vari,"Manuale Cremonese di MECCANINCA ELETTORTECNICA ELETTRONICA, Indici: generale, autori, analitico",Edizioni Cremonese,,,0,Manuali
L358,Vari,Manuale del Perito in elettronica telecomunicazioni energia nucleare,Edizioni Cremonese,,,0,Manuali
L383,Carlos Ruiz Zafon,Marina,Mondadori,,,0,Romanzo
L517,"Mark Ellingham, Shaun McVeigh, Daniel Jacobs, Hamish Brown",Marocco,Vallardi Viaggi,,,0,Viaggi
L599,Doris Lessing,Martha Quest,Feltrinelli,,,0,Romanzo
L140,Andrea Camilleri,Maruzza Musumeci,Sellerio Editore Palermo,,,0,Romanzo
L159,Magaldi Gioele,Massoni. Società a responsabilità illimitata. La scoperta delle Ur-Lodges,Chiarelettere,,,0,Saggi
L356,"Albrecht Beutelspacher, A. Peroni",Matematica. Tutto quello che avreste voluto sapere. 101 domande e risposte,Ponte Alle Grazie,,,0,Matematica
L166,"Marguerite Yourcenar, L. Storoni Mazzolani",Memorie di Adriano. Seguite dai taccuini di appunti,Einaudi,,,0,Storia
L500,Martha Nasib?,Memorie di una principessa etiope,Neri Pozza,,,0,Romanzo
L339,Tim Wu,The Master Switch,Atlantic Books,,London,0,Saggi
L35,Maurizio Pallante,Meno e meglio. Decrescere per progredire,Mondadori,,,0,Saggi
L343,"Thomas Thoenes, Frank Z?llner",Michelangelo,Taschen,,,0,Arte
L91,"Khaled Hosseini, I. Vaj",Mille splendidi soli,Piemme,,,0,Romanzo
